,is_holiday,temperature,weekday,hour,month_day,year,month,traffic_volume,weather_type,weather_description
0,0,276.69,1,10,1,2017,5,4457,3,5
1,0,282.75,1,0,6,2017,3,585,2,7
2,0,293.66,2,8,2,2013,7,5704,1,8
3,0,266.08,1,7,15,2016,2,5295,1,8
4,0,290.36,1,2,15,2016,8,270,5,6
5,0,273.29,6,4,30,2016,1,408,3,5
6,0,286.05,6,3,29,2015,8,425,3,5
7,0,262.87,7,17,22,2013,12,3273,8,22
8,0,258.15,6,6,14,2017,1,1166,1,1
9,0,286.96,3,12,7,2015,10,4911,2,7
10,0,291.71,5,14,4,2016,11,4810,2,10
11,0,286.82,6,5,15,2017,4,598,3,5
12,0,299.33,5,14,26,2015,6,5118,2,11
13,0,286.78,7,6,19,2013,5,815,1,8
14,0,294.83,7,5,6,2014,7,483,3,5
15,0,283.88,1,23,16,2013,9,986,7,12
16,0,275.44,7,9,4,2012,11,2911,3,5
17,0,272.49,6,19,4,2017,2,4011,8,13
18,0,294.35,2,19,8,2015,9,3242,1,16
19,0,278.65,6,4,16,2013,11,424,3,5
20,0,296.28,6,11,30,2016,7,1967,5,6
21,0,274.66,3,9,21,2012,11,5041,3,5
22,0,273.15,4,22,10,2016,3,2754,5,6
23,0,280.77,6,8,8,2017,4,3126,1,1
24,0,296.15,3,18,2,2014,7,4569,3,5
25,0,262.34,7,0,12,2017,3,1825,2,10
26,0,256.66,7,2,17,2013,2,613,2,10
27,0,289.56,6,1,4,2016,6,797,3,5
28,0,275.95,2,3,23,2013,4,329,4,15
29,0,265.93,1,5,15,2016,2,2487,2,10
30,0,288.144,4,15,6,2016,10,5106,3,5
31,0,277.08,4,20,18,2016,2,3043,2,2
32,0,295.86,4,14,17,2015,9,5182,2,11
33,0,275.82,6,21,11,2017,2,2835,5,6
34,0,292.4,2,9,8,2014,7,5162,2,10
35,0,263.11,7,16,30,2012,12,3206,3,3
36,0,291.05,5,8,5,2016,8,5069,6,9
37,0,285.95,3,15,12,2017,4,5712,3,5
38,0,289.84,6,4,14,2014,6,464,1,1
39,0,280.88,3,2,7,2015,10,252,5,6
40,0,298.86,1,12,31,2015,8,5314,5,6
41,0,293.48,2,11,14,2016,6,4866,3,5
42,0,278.52,2,2,29,2014,4,255,1,1
43,0,292.38,4,1,11,2016,8,539,5,6
44,0,283.52,1,17,3,2017,4,6071,5,6
45,0,280.02,7,10,5,2017,3,3654,3,5
46,0,271.35,3,9,18,2017,1,5410,2,2
47,0,290.82,5,0,28,2015,8,680,3,3
48,0,297.49,4,11,7,2016,7,4350,2,7
49,0,277.22,3,18,27,2016,1,4689,2,10
50,0,264.36,7,21,8,2017,1,2026,1,16
51,0,268.41,2,17,12,2013,2,6079,3,5
52,0,290.28,7,7,25,2016,9,1293,2,10
53,0,289.1,3,0,5,2016,10,514,1,1
54,0,285.18,4,0,15,2016,9,546,9,17
55,0,269.75,7,2,1,2017,1,1211,2,2
56,0,278.65,2,23,13,2015,10,1409,2,10
57,0,301.8,5,16,20,2014,6,6342,2,10
58,0,291.77,7,8,27,2014,7,1735,3,5
59,0,278.44,4,15,7,2016,4,5847,3,5
60,0,273.9,1,9,12,2012,11,2096,2,2
61,0,283.01,1,9,26,2016,9,4697,2,7
62,0,290.34,4,10,23,2016,6,5051,2,11
63,0,265.47,4,23,8,2016,12,1147,2,7
64,0,282.22,1,5,14,2016,3,2776,3,3
65,0,293.6,1,21,3,2015,8,2465,6,9
66,0,286.15,1,16,27,2017,3,6618,2,10
67,0,291.79,7,21,11,2014,5,2616,3,5
68,0,289.48,3,1,1,2016,6,441,3,5
69,0,273.09,6,8,1,2012,12,2953,2,10
70,0,267.8,4,11,21,2016,1,4545,8,27
71,0,288.15,5,14,11,2016,3,5835,2,10
72,0,300.1,1,19,1,2016,8,2878,3,5
73,0,274.75,5,23,17,2017,3,2314,3,5
74,0,291.04,7,4,21,2013,7,329,8,22
75,0,284.41,7,22,2,2013,6,1963,5,6
76,0,268.35,3,10,8,2017,3,4454,4,15
77,0,288.46,7,4,3,2016,7,419,6,9
78,0,258.21,2,8,9,2016,2,5947,3,5
79,0,271.7,1,7,2,2013,12,6277,2,7
80,0,251.13,2,16,31,2013,12,5133,4,15
81,0,278.29,4,23,3,2016,11,1116,2,10
82,0,272.9,5,22,12,2013,4,2774,3,5
